County,Category,Score
Jenkins County,Education,17.9
Johnson County,Education,36.7
Jones County,Education,52.7
Lamar County,Education,39.6
Lanier County,Education,51.8
Laurens County,Education,47.9
Lee County,Education,64.5
Liberty County,Education,57.3
Lincoln County,Education,49.6
Long County,Education,39.7
Lowndes County,Education,59.9
Lumpkin County,Education,68.5
Macon County,Education,18.0
Madison County,Education,58.7
Marion County,Education,46.7
McDuffie County,Education,30.9
McIntosh County,Education,59.6
Meriwether County,Education,21.4
Miller County,Education,38.1
Mitchell County,Education,33.7
Monroe County,Education,56.6
Montgomery County,Education,37.7
Morgan County,Education,55.9
Murray County,Education,50.8
Muscogee County,Education,57.2
Newton County,Education,50.5
Oconee County,Education,87.3
Oglethorpe County,Education,61.2
Paulding County,Education,53.9
Peach County,Education,49.9
Pickens County,Education,58.4
Pierce County,Education,36.0
Pike County,Education,56.9
Polk County,Education,31.2
Pulaski County,Education,45.6
Putnam County,Education,54.1
Quitman County,Education,15.3
Rabun County,Education,59.9
Randolph County,Education,21.8
Richmond County,Education,32.7
Rockdale County,Education,51.0
Schley County,Education,49.8
Screven County,Education,38.6
Seminole County,Education,49.7
Spalding County,Education,46.5
Stephens County,Education,51.5
Stewart County,Education,46.4
Sumter County,Education,55.1
Talbot County,Education,30.8
Taliaferro County,Education,45.0
Tattnall County,Education,42.8
Taylor County,Education,34.8
Telfair County,Education,42.6
Terrell County,Education,39.5
Thomas County,Education,51.4
Tift County,Education,45.1
Toombs County,Education,54.1
Towns County,Education,68.4
Treutlen County,Education,26.6
Troup County,Education,44.3
Turner County,Education,55.1
Twiggs County,Education,30.0
Union County,Education,63.7
Upson County,Education,42.5
Walker County,Education,50.7
Walton County,Education,55.2
Ware County,Education,45.9
Warren County,Education,39.2
Washington County,Education,42.4
Wayne County,Education,50.0
Webster County,Education,50.2
Wheeler County,Education,42.6
White County,Education,52.9
Whitfield County,Education,32.9
Wilcox County,Education,50.7
Wilkes County,Education,29.5
Wilkinson County,Education,47.0
Worth County,Education,20.9
Appling County,Health,44.8
Atkinson County,Health,14.1
Bacon County,Health,29.5
Baker County,Health,39.2
Baldwin County,Health,51.1
Banks County,Health,38.0
Barrow County,Health,36.8
Bartow County,Health,43.2
Ben Hill County,Health,25.9
Berrien County,Health,18.4
Bibb County,Health,68.3
Bleckley County,Health,49.2
Brantley County,Health,28.5
Brooks County,Health,33.6
Bryan County,Health,64.0
Bulloch County,Health,52.0
Burke County,Health,45.6
Butts County,Health,43.4
Calhoun County,Health,36.2
Camden County,Health,51.4
Candler County,Health,28.7
Carroll County,Health,47.6
Catoosa County,Health,55.3
Charlton County,Health,35.7
Chatham County,Health,61.0
Chattahoochee County,Health,70.7
Chattooga County,Health,33.1
Cherokee County,Health,55.2
Clarke County,Health,58.6
Clay County,Health,37.6
Clayton County,Health,32.1
Clinch County,Health,15.2
Cobb County,Health,63.1
Coffee County,Health,42.7
Colquitt County,Health,25.0
Columbia County,Health,80.9
Cook County,Health,36.5
Coweta County,Health,59.0
Crawford County,Health,36.2
Crisp County,Health,40.9
Dade County,Health,43.6
Dawson County,Health,55.8
DeKalb County,Health,70.5
Decatur County,Health,37.3
Dodge County,Health,48.5
Dooly County,Health,33.3
Dougherty County,Health,47.8
Douglas County,Health,46.7
Early County,Health,32.2
Echols County,Health,16.4
Effingham County,Health,49.6
Elbert County,Health,44.0
Emanuel County,Health,32.1
Evans County,Health,29.9
Fannin County,Health,55.4
Fayette County,Health,84.6
Floyd County,Health,65.3
Forsyth County,Health,63.4
Franklin County,Health,30.9
Fulton County,Health,76.0
Gilmer County,Health,39.4
Glascock County,Health,52.7
Glynn County,Health,49.2
Gordon County,Health,38.9
Grady County,Health,35.1
